2025-02-24 15:12:40,825 - INFO - 시뮬레이션 버튼 클릭
2025-02-24 15:12:40,853 - INFO - 데이터 필터링 완료
2025-02-24 15:12:45,831 - INFO - 조건: (date_window: 1, adjustment: 1.0)
2025-02-24 15:12:45,831 - INFO - 매수 거래량: 39464.0, 매도 거래량: 21267.0
2025-02-24 15:12:45,831 - INFO - 매수 수익: 39464.0, 매도 수익: 21267.0
2025-02-24 15:12:46,512 - INFO - 조건: (date_window: 1, adjustment: 2.0)
2025-02-24 15:12:46,512 - INFO - 매수 거래량: 33648.0, 매도 거래량: 20244.0
2025-02-24 15:12:46,512 - INFO - 매수 수익: 67296.0, 매도 수익: 40488.0
2025-02-24 15:12:47,005 - INFO - 조건: (date_window: 1, adjustment: 3.0)
2025-02-24 15:12:47,005 - INFO - 매수 거래량: 25113.0, 매도 거래량: 18045.0
2025-02-24 15:12:47,005 - INFO - 매수 수익: 75339.0, 매도 수익: 54135.0
2025-02-24 15:12:47,390 - INFO - 조건: (date_window: 1, adjustment: 4.0)
2025-02-24 15:12:47,390 - INFO - 매수 거래량: 17765.0, 매도 거래량: 17124.0
2025-02-24 15:12:47,390 - INFO - 매수 수익: 71060.0, 매도 수익: 68496.0
2025-02-24 15:12:47,726 - INFO - 조건: (date_window: 1, adjustment: 5.0)
2025-02-24 15:12:47,727 - INFO - 매수 거래량: 11381.0, 매도 거래량: 16382.0
2025-02-24 15:12:47,727 - INFO - 매수 수익: 56905.0, 매도 수익: 81910.0
2025-02-24 15:12:47,994 - INFO - 조건: (date_window: 1, adjustment: 6.0)
2025-02-24 15:12:47,994 - INFO - 매수 거래량: 3704.0, 매도 거래량: 14312.0
2025-02-24 15:12:47,994 - INFO - 매수 수익: 22224.0, 매도 수익: 85872.0
2025-02-24 15:12:48,224 - INFO - 조건: (date_window: 1, adjustment: 7.0)
2025-02-24 15:12:48,225 - INFO - 매수 거래량: 997.0, 매도 거래량: 14312.0
2025-02-24 15:12:48,225 - INFO - 매수 수익: 6979.0, 매도 수익: 100184.0
2025-02-24 15:12:48,437 - INFO - 조건: (date_window: 1, adjustment: 8.0)
2025-02-24 15:12:48,437 - INFO - 매수 거래량: 0.0, 매도 거래량: 12005.0
2025-02-24 15:12:48,437 - INFO - 매수 수익: 0.0, 매도 수익: 96040.0
2025-02-24 15:12:48,632 - INFO - 조건: (date_window: 1, adjustment: 9.0)
2025-02-24 15:12:48,632 - INFO - 매수 거래량: 0.0, 매도 거래량: 11228.0
2025-02-24 15:12:48,632 - INFO - 매수 수익: 0.0, 매도 수익: 101052.0
2025-02-24 15:12:48,811 - INFO - 조건: (date_window: 1, adjustment: 10.0)
2025-02-24 15:12:48,811 - INFO - 매수 거래량: 0.0, 매도 거래량: 11228.0
2025-02-24 15:12:48,811 - INFO - 매수 수익: 0.0, 매도 수익: 112280.0
2025-02-24 15:12:50,151 - INFO - 조건: (date_window: 2, adjustment: 1.0)
2025-02-24 15:12:50,151 - INFO - 매수 거래량: 39464.0, 매도 거래량: 23878.0
2025-02-24 15:12:50,151 - INFO - 매수 수익: 39464.0, 매도 수익: 23878.0
2025-02-24 15:12:51,170 - INFO - 조건: (date_window: 2, adjustment: 2.0)
2025-02-24 15:12:51,170 - INFO - 매수 거래량: 34247.0, 매도 거래량: 22855.0
2025-02-24 15:12:51,170 - INFO - 매수 수익: 68494.0, 매도 수익: 45710.0
2025-02-24 15:12:51,948 - INFO - 조건: (date_window: 2, adjustment: 3.0)
2025-02-24 15:12:51,948 - INFO - 매수 거래량: 26375.0, 매도 거래량: 20390.0
